year;category;population
2015;RO;1768204
2015;AC;803513
2015;AM;3938336
2015;RR;505665
2015;PA;8175113
2015;AP;766679
2015;TO;1515126
2015;MA;6904241
2015;PI;3203262
2015;CE;8905225
2015;RN;3442175
2015;PB;3972202
2015;PE;9345603
2015;AL;3340502
2015;SE;2242937
2015;BA;15203934
2015;MG;20869101
2015;ES;3929911
2015;RJ;16550024
2015;SP;44396484
2015;PR;11163018
2015;SC;6819190
2015;RS;11247972
2015;MS;2651235
2015;MT;3265486
2015;GO;6610681
2015;DF;2914830
2015;Brazil;204450649
2016;RO;1787279
2016;AC;816687
2016;AM;4001667
2016;RR;514229
2016;PA;8272724
2016;AP;782295
2016;TO;1532902
2016;MA;6954036
2016;PI;3211411
2016;CE;8964432
2016;RN;3474998
2016;PB;3999415
2016;PE;9410772
2016;AL;3358527
2016;SE;2265779
2016;BA;15276566
2016;MG;20997560
2016;ES;3973697
2016;RJ;16635996
2016;SP;44749699
2016;PR;11242720
2016;SC;6910553
2016;RS;11286500
2016;MS;2682386
2016;MT;3305531
2016;GO;6695855
2016;DF;2977216
2016;Brazil;206081432
2017;RO;1805788
2017;AC;829619
2017;AM;4063614
2017;RR;522636
2017;PA;8366628
2017;AP;797722
2017;TO;1550194
2017;MA;7000229
2017;PI;3218485
2017;CE;9021232
2017;RN;3507003
2017;PB;4025558
2017;PE;9473707
2017;AL;3375382
2017;SE;2288116
2017;BA;15344447
2017;MG;21119536
2017;ES;4016356
2017;RJ;16718956
2017;SP;45094866
2017;PR;11320892
2017;SC;7001161
2017;RS;11322895
2017;MS;2713147
2017;MT;3344544
2017;GO;6778772
2017;DF;3039444
2017;Brazil;207660929
2018;RO;1823741
2018;AC;842290
2018;AM;4124033
2018;RR;530879
2018;PA;8457229
2018;AP;812961
2018;TO;1567016
2018;MA;7043339
2018;PI;3224536
2018;CE;9075744
2018;RN;3538218
2018;PB;4050662
2018;PE;9534634
2018;AL;3391142
2018;SE;2309961
2018;BA;15408073
2018;MG;21235870
2018;ES;4058079
2018;RJ;16798421
2018;SP;45429330
2018;PR;11396262
2018;SC;7090682
2018;RS;11356804
2018;MS;2743142
2018;MT;3382487
2018;GO;6860047
2018;DF;3101220
2018;Brazil;209186802
2019;RO;1841142
2019;AC;854691
2019;AM;4182899
2019;RR;538963
2019;PA;8544639
2019;AP;828028
2019;TO;1583391
2019;MA;7083578
2019;PI;3229651
2019;CE;9128090
2019;RN;3568644
2019;PB;4074755
2019;PE;9593588
2019;AL;3405893
2019;SE;2331323
2019;BA;15467527
2019;MG;21346492
2019;ES;4098852
2019;RJ;16874306
2019;SP;45752757
2019;PR;11468818
2019;SC;7179056
2019;RS;11388156
2019;MS;2772343
2019;MT;3419350
2019;GO;6939629
2019;DF;3162452
2019;Brazil;210659013
2020;RO;1857992
2020;AC;866811
2020;AM;4240210
2020;RR;546891
2020;PA;8628901
2020;AP;842914
2020;TO;1599316
2020;MA;7121156
2020;PI;3233891
2020;CE;9178363
2020;RN;3598288
2020;PB;4097859
2020;PE;9650604
2020;AL;3419689
2020;SE;2352207
2020;BA;15522855
2020;MG;21451356
2020;ES;4138657
2020;RJ;16946541
2020;SP;46064928
2020;PR;11538518
2020;SC;7266193
2020;RS;11416895
2020;MS;2800704
2020;MT;3455092
2020;GO;7017496
2020;DF;3223048
2020;Brazil;212077375
2015;Male;100955522
2016;Male;101726102
2017;Male;102471274
2018;Male;103189829
2019;Male;103881681
2020;Male;104546709
2015;Female;103495127
2016;Female;104355330
2017;Female;105189655
2018;Female;105996973
2019;Female;106777332
2020;Female;107530666
2015;Age_00_to_19;64549292
2016;Age_00_to_19;63935969
2017;Age_00_to_19;63288764
2018;Age_00_to_19;62607166
2019;Age_00_to_19;61892950
2020;Age_00_to_19;61156335
2015;Age_20_to_39;67726893
2016;Age_20_to_39;68022995
2017;Age_20_to_39;68254915
2018;Age_20_to_39;68416676
2019;Age_20_to_39;68499419
2020;Age_20_to_39;68492929
2015;Age_40_to_59;48233579
2016;Age_40_to_59;49189007
2017;Age_40_to_59;50152631
2018;Age_40_to_59;51128797
2019;Age_40_to_59;52123419
2020;Age_40_to_59;53137449
2015;Age_60_to_79;20631860
2016;Age_60_to_79;21475182
2017;Age_60_to_79;22344712
2018;Age_60_to_79;23244596
2019;Age_60_to_79;24182120
2020;Age_60_to_79;25159111
2015;Age_80_or_older;3309025
2016;Age_80_or_older;3458279
2017;Age_80_or_older;3619907
2018;Age_80_or_older;3789567
2019;Age_80_or_older;3961105
2020;Age_80_or_older;4131551
2015;White;89265382
2016;White;89977399
2017;White;90667025
2018;White;91333238
2019;White;91976021
2020;White;92595294
2015;Black;17145047
2016;Black;17281803
2017;Black;17414259
2018;Black;17542217
2019;Black;17665675
2020;Black;17784618
2015;Brown;95907472
2016;Brown;96672470
2017;Brown;97413410
2018;Brown;98129194
2019;Brown;98819806
2020;Brown;99485157
2015;Others;1770768
2016;Others;1784892
2017;Others;1798572
2018;Others;1811788
2019;Others;1824539
2020;Others;1836823
